univName,link,univRequirementDetail,univCourse,toefl,ielts,det,awardee
The University of Western Australia,https://iisma.kemdikbud.go.id/info/27-the-university-of-western-australia/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 82 Duolingo English Test: not accepted ,"['Asia from Colonial to Modern', 'Boodjar Moort Katitjin: Introduction to Indigenous Heritage and Knowledge', 'Disasters!', 'Professional and Academic Communications', 'Understanding Global Politics', 'Drugs that Changed the World', 'Environmental History', 'Global Literatures', 'Human Rights in Global Perspective', 'Crime and Society']",82,6.5,not,No awardee details
University of Otago,https://iisma.kemdikbud.go.id/info/51-university-of-otago/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 80 Duolingo English Test:    ,"['Computer and Information Science', 'Politics', 'Biochemistry', 'Cell and Molecular Biology', 'Maori Studies', 'Ecology', 'Earth and Ocean Science', 'Marine Science', 'Management', 'Tourism', 'Anthropology']",80,6,No DET requirement,No awardee details
Victoria University of Wellington,https://iisma.kemdikbud.go.id/info/62-victoria-university-of-wellington/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 no band score less than 5.5 TOEFL iBT: 80  Duolingo English Test: 110  ,"['Introduction to Artificial Intelligence', 'Māori Society and Culture', 'The Pacific Heritage', 'Media in Aotearoa New Zealand', 'Design Ethnography 1', 'Game Design I', 'Cultural Encounters: The Literature of Aotearoa New Zealand', 'Antarctica: Unfreezing the Continent', 'Islands and Peoples: Aotearoa New Zealand in World History', 'Power, Influence and International Security']",80 ,6,110 ,No awardee details
University of New South Wales,https://iisma.kemdikbud.go.id/info/12-university-of-new-south-wales/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: not acceptedNever had TB/TBC infectionOn 11 April 2023, applicants are required to have a passport with at least one year validity. ","['Programming Fundamentals', 'The Art of Computing', 'Civil and Environmental Engineering Practice', 'Art and Design for Environmental Challenges', 'Sustainable Food Product Manufacturing', 'Molecules, Cells, and Genes', 'Business Decision Making', 'Psychology of Work', 'Educational Psychology', 'Financial Management']",90,6.5,not,No awardee details
University of Canterbury,https://iisma.kemdikbud.go.id/info/66-university-of-canterbury/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 80 Duolingo English Test: Not Accepted ,"['Business and Culture', 'Working and Leading in International Teams', 'Enterprise in Practice', 'Innovation Management', 'Hospitality Marketing and Management', 'Sustainable Tourism Enterprises and Destinations', 'Business Systems Analysis', 'Data Management', 'Web Design and Development', 'Digital Marketing', 'Remote sensing for geospatial analysis', 'Environmental Psychology', 'Cyberspace, Cyborgs, and the Meaning of Life', 'Global Environmental Change', 'Environmental Earth System Science', 'Science, Maori and Indigenous Knowledge', 'Science, Society and Me', 'Places for Wellbeing and Flourishing', 'Freshwater Resources', 'Environmental Hazards and Disasters']",80 Duolingo,6,Not,No awardee details
Vrije Universiteit Amsterdam,https://iisma.kemdikbud.go.id/info/54-vrije-universiteit-amsterdam/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 92 Duolingo English Test: not accepted ,"['Development and Global Challenges', 'Law and Global Society', 'Managing Digital Innovation', 'Peace and Conflict Studies', 'Psychology and the Brain', 'Risk Management for Financial Institutions', 'Technology, Law and Ethics', 'Brain and Mind', 'Business Administration', 'Digital Humanities and Social Analytics', 'European Urban and Cultural History', 'Gender and Diversity']",92,6.5,not,No awardee details
Leiden University,https://iisma.kemdikbud.go.id/info/73-leiden-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: not accepted ,"['Dutch Painting 1400-1950: Introduction to the Art History of the Netherlands, Cultuurwetenschap I', 'Culture and Society of the Netherlands: An Inside View', 'Histories of Modern South and Southeast Asia', 'Introduction to International Studies (in the Hague)', 'Natural Computing', 'Introduction to International Organisations', 'Economics for Political Scientists', 'Public International Law (bachelor)', 'Law and Governance in Africa', 'Trade and Finance in the Global Economy', 'Introduction to Psychology', 'Cross-cultural Psychology of Health and Illness', 'Introduction to Public Administration (in the Hague)', 'International Regulation (in the Hague)', 'International Administration (Minor/Exchange) (in the Hague)', 'European Union Politics and Policy (minor PA) (in the Hague)', 'Entrepreneurship and Innovation']",90,6.5,not,ApplicantsApplicants : 81 students GPA : 3.07-3.98TOEFL iBT Score : 90-115 IELTS Score : 6-8.5Duolingo English Test Score : 100-135AwardeesAwardees : 4 students GPA : 3.67-3.97TOEFL iBT Score :  IELTS Score : 8-8.5Duolingo English Test Score :  
University of Twente,https://iisma.kemdikbud.go.id/info/49-university-of-twente/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 80 Duolingo English Test: not accepted ,"['Introduction to Geographic Information Systems', 'Introduction to Earth Observation', 'Cybersecurity & Cybercrime', 'Innovations in Sustainable Chain Management', 'Aerospace Management & Operations', 'Innovation & Entrepreneurship', 'Philosophy of Science and Technology', 'Science to Society: From Idea to Prototype', 'Governance of Innovation and Socio-Technical Change', 'New Technology Business Development', 'Smart Solutions for Sustainable Cities', 'Science to Society: From Prototype to Society', 'Circular Economy Transition']",80,6,not,No awardee details
Maastricht University,https://iisma.kemdikbud.go.id/info/59-maastricht-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: 105 ,"['Maastricht Science Program', 'Artificial Intelligence', 'Data Science', 'Sustainability Minor', 'European Public Health', 'Entrepreneurship Minor', 'Liberal Arts and Sciences']",90,6.5,105,"ApplicantsApplicants : 393 students GPA : 3.04-4.00TOEFL iBT Score : 64-115IELTS Score : 6.5-8Duolingo English Test Score : 70-150AwardeesAwardees : 20 students GPA : 3.25-3.95TOEFL iBT Score : IELTS Score : 8Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">140-150</span>"
KU Leuven,https://iisma.kemdikbud.go.id/info/20-ku-leuven/,English Language: IELTS: 6.5 TOEFL iBT: 92 Duolingo English Test: not accepted  ,"['Engineering and Economics', 'The Low Countries at the Crossroads of European History', 'International Relations and European Integration since World War II', 'Institutions and Policy of the EU ', 'Art in Europe: a History of Emotions', 'East-West Perspectives in Philosophy', 'Philosophy of Technology ', 'Historical Introduction to Philosophy', 'Introduction to the Study of Theology']",92,6.5,not,ApplicantsApplicants : 23 students GPA : 3.04-3.98TOEFL iBT Score : 100-111IELTS Score : 6.5-8.5Duolingo English Test Score : 75-140AwardeesAwardees : 10 students GPA : 3.36-3.98TOEFL iBT Score : 103IELTS Score : 7.5-8.5Duolingo English Test Score :  
University of Tartu,https://iisma.kemdikbud.go.id/info/69-university-of-tartu/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5.5 TOEFL iBT: 75 Duolingo English Test: 100  ,"['Introduction to the European Union ', 'The essentials of biopolitics ', 'E-Governance ', 'Encounters with Estonian Culture', 'Cultural and Religious Roots of the Middle East', 'Comparative Ethnopolitics', 'Illiberal turn in Europe and Russia ', 'History of the Baltic Sea Region']",75,5.5,100 ,ApplicantsApplicants : 190 students GPA : 3.04-3.99TOEFL iBT Score : IELTS Score : 5.5-8Duolingo English Test Score : 95-150AwardeesAwardees : 6 students GPA : 3.61-3.98TOEFL iBT Score : IELTS Score : Duolingo English Test Score : 135-145
University of Szeged,https://iisma.kemdikbud.go.id/info/75-university-of-szeged,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5 TOEFL iBT: 74 Duolingo English Test: 95 ,"['Elements of Marketing', 'Logistics', 'Personality and Communication Group Training Practice', 'Living Abroad, Reflecting the Intercultural Experiences\t', 'Health promotion, life-style\t', 'Farm Business Management', 'Agricultural Economy', 'Tendencies in European Political Philosophy ', 'Contemporary Issues of Public Administration: Globalisation ', 'General and Personality Psychology, Lecture', 'International Touristic Geography', 'Biotechnology', 'Pharmaceutical Care', 'Plant Protection', 'Business Communication\t', 'Knowing of musical works, visiting concerts, operas', 'Introduction to Literature and Culture I', 'Introduction to Linguistics', 'Quality Control ', 'Hungarian Folklore and Music']",74,5,95,"ApplicantsApplicants : 641 students GPA : 3.08-4.0TOEFL iBT Score : 35-92IELTS Score : 6-8Duolingo English Test Score : 0-150AwardeesAwardees : 46 students GPA : 3.08-4.0TOEFL iBT Score :  IELTS Score : 7.5Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">125-150</span>"
University of Pisa,https://iisma.kemdikbud.go.id/info/72-university-of-pisa/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5.5 TOEFL iBT: 46 Duolingo English Test: 90 ,"['ITALIAN LANGUAGE AND CULTURE', 'ITALIAN CINEMA', 'Classical Civilizazions', 'Italian Literature I', 'Introduction to Aesthetics', 'Medieval Art', 'Business and Commercial Law', 'EUROPEAN MACROECONOMICS', 'FINANCIAL ACCOUNTING', 'MANAGEMENT AND FUNDAMENTALS OF ACCOUNTING', 'INTRODUCTION TO MEDIEVAL HISTORY', 'FUNDAMENTALS OF DATA MINING AND MACHINE LEARNING', 'Information Technologies for Industries 4.0', 'Sustainability and Circular Economy', 'Introduction to Modern History', 'Egyptian Archaeology']",46,5.5,90,No awardee details
Humboldt-Universität zu Berlin,https://iisma.kemdikbud.go.id/info/37-humboldt-universitat-zu-berlin/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90 Duolingo English Test: 105 ,"['Exploring Berlin Museums - Focus on Memory and Migration', 'Conceptualizing German Identity: From Colonial towards Post-Colonial Diversity', 'Asia in Berlin', 'Be your own Berlin! Urban performance in tourism', 'Exhibitions and exhibits: Perspectives on Curating', 'Artists from Abroad in Berlin: A Journalistic Exploration', 'Female German Authors in Context', 'Introduction to International Economic Law: The globalization of law', 'Being Watched: History and Contemporary Culture of Surveillance', 'The Federal Capital Berlin: Centre Stage of German Politics', 'German language course A1 (beginner)']",90,6.5,105,"ApplicantsApplicants : 149 studentsGPA : 3.04-4.0TOEFL iBT Score : 107 IELTS Score : 6-8.5Duolingo English Test Score : 80-155AwardeesAwardees : 25 students GPA : 3.72-4.0TOEFL iBT Score :  IELTS Score : 8-8.5Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">120-145</span>"
University of Zagreb,https://iisma.kemdikbud.go.id/info/77-university-of-zagreb/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.0 TOEFL iBT: 78 Duolingo English Test: 100 ,"['Corporate Risk Management', 'Strategic Human Resource Management', 'The Politics of Human Rights', 'Project Management', 'Global Ecology ', 'Regional Marketing', 'Explaining Social Behavior', 'Business Informatics', 'Cross-Cultural Management', 'Business Communication', 'Interest Groups and Lobbying in the European Union', 'How Language Works: Introduction into Pragmatics', 'Limnology and Oceanology', 'Sociology of work and professional ethics', 'Bioethics and Human Rights', 'Development of European Integration and Institutions']",78,6.0,100,No awardee details
University of Warsaw,https://iisma.kemdikbud.go.id/info/68-university-of-warsaw/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5,5 TOEFL iBT: 75 Duolingo English Test: 90 ","['International Migration', 'Doing business Europe-Asia: Legal, Political and Economic Perspectives', 'Academic Writing and Research Skills in International Relations and Politics', 'Asymmetric Threats', 'Introduction to Europe through Poland: Language, Culture, and History ', 'European Union and Polish Diplomacy in Asia: theory and practice', 'Introduction to World Politics ', 'History of European Integration', 'International Political Economy', 'US National Security', 'Security System in the Asia-Pacific Region']",75,"5,5",90,No awardee details
Palacký University Olomouc,https://iisma.kemdikbud.go.id/info/76-palacky-university-olomouc/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5 TOEFL iBT: 60 Duolingo English Test: 90 ,"['Media, Culture and Society', 'Cross-Cultural Experience', 'Developing Soft Skills Through Applied Psychology', 'Historical Olomouc', 'History of the Future', 'School of Law: Contemporary European and International Law', 'Introduction to Educational and School Psychology', 'Survey of Czech Music', 'Czech Language for Indonesian Students', 'Central European Culture and Society']",60,5,90,ApplicantsApplicants : 333 students GPA : 3.02-4.00TOEFL iBT Score : 56 IELTS Score : 6-8 Duolingo English Test Score : 85-145<b>Awardees</b>Awardees : 20 students GPA : 3.02-3.99TOEFL iBT Score :  IELTS Score : Duolingo English Test Score : 110-135
Grenoble Ecole de Management,https://iisma.kemdikbud.go.id/info/41-grenoble-ecole-de-management/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 79 Duolingo English Test: 100 ,"['Social Responsibility in International Business', 'French Language', 'French Business and Culture', 'International Perspectives in Marketing', 'Innovation Management', 'Geopolitics', 'Global Strategy', 'International Perspectives in Marketing']",79,6,100,No awardee details
M.V.Lomonosov Moscow State University,https://iisma.kemdikbud.go.id/info/24-m-v-lomonosov-moscow-state-university/,No requirement ,"['Corporate Finance', 'Customer-Centered Innovations with Design Thinking and Lean User Research', 'Economic History', 'Economics and Environmental Management', 'Financial markets', 'Labour Economics', 'Management', 'Marketing Principles and Decisions', 'Russia and WTO', 'Technical Analysis', 'Free Economic Zones and Offshore Territories', 'International Economics', 'International Financial Reporting Standards', 'International Tax Planning', 'Introduction to Data Science with R for economists', 'Introductory microeconomics', 'Islamic Finance', 'Natural Capital and Resource Economics', 'Networks and relationships in the experience economy', 'Organizational Behaviour']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,No awardee details
Radboud University,https://iisma.kemdikbud.go.id/info/57-radboud-university/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 90  Duolingo English Test: not accepted ,"['Global Health & Infectious Diseases ', 'Pediatric Infectious Diseases and Immunity ', 'Infectious Disease Epidemiology and Prevention ', 'Societal impact of Artificial Intelligence ', 'Module Global Justice and Human Rights ', 'Module Ecology and Sustainability  ', 'Medical biotechnology towards clinical practice', ' History of Biology', 'Biology and Society', 'Course Globalising Worlds / Human Geography', 'Course Borders and Identities in Europa / Human Geography', 'Course Space and Environment in the European Union / Environment and Society Studies ', 'Intercultural Communication/Communication and Information Studies', 'Extra module Radboud honours academy', 'Psychology and Media Content', 'Module Religious Contacts and Conflicts ']",90 ,6.5,not,ApplicantsApplicants : 65 students GPA : 3.11-4.00TOEFL iBT Score : 0-111IELTS Score : 5-8.5Duolingo English Test Score : 110-125 <b>Awardees</b>Awardees : 15GPA : 3.11-4.00TOEFL iBT Score : 94IELTS Score : 7-8Duolingo English Test Score :  
Vytautas Magnus University,https://iisma.kemdikbud.go.id/info/78-vytautas-magnus-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 87 Duolingo English Test: 89 ,"['GRAPHICS AND VISUALIZATION', 'Creative and Feature Writing ', 'Lithuanian History', 'Lithuanian Folklore, Traditions, Mythology', 'Cultural Diversity and Intercultural Communication', 'Managerial Decision Making', 'Media Studies', 'Leadership', 'Ecological forestry', 'Introduction to Sociolinguistics ', 'Social Change', 'Social Inequality and Exclusion', 'General ecology', 'POSITIVE PSYCHOLOGY', 'Media and Popular Culture  ', 'POLITICAL SYSTEMS']",87,6,89,No awardee details
Sciences Po,https://iisma.kemdikbud.go.id/info/lolos-67-sciences-po/,Academic: GPA of 3.0 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 100 Duolingo English Test: 135 ,"['TRADE AND INTERNATIONAL FINANCE', 'MICROECONOMICS: INFORMATION, DESIGN AND INSTITUTIONS', 'MAJOR FIELDS OF INVESTIGATION IN SOCIOLOGY', 'LITERATURE AND THE LAW : READING AND WRITING ABOUT RIGHTS IN WESTERN CULTURE', 'WOMEN IN MOVEMENT: HISTORY OF FEMINISMS FROM THE LATE 19TH CENTURY TO THIS DAY', 'INTRODUCTION TO CLIMATE DIPLOMACY', 'GOVERNING BORDERS IN THE 21ST CENTURY', 'AGRICULTURE, FOOD AND GLOBALIZATION', 'BEHAVIORAL GAME THEORY', 'COMPARATIVE POLITICS']",100 Duolingo,6.5,135,No awardee details
Universitat Pompeu Fabra,https://iisma.kemdikbud.go.id/info/60-universitat-pompeu-fabra/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 5.5 TOEFL iBT: 80 Duolingo English Test: 115 ,"['Cinematic Creativity in Spain: Authorship, Industry, Politics ', 'Global Culture and Marketing of FC Barcelona ', 'Great Ideas that Have Shaped our World: From the Axial Age to the Robot Revolution ', 'The Arab World Today: Tradition and Diversity ', 'Analytics for Social Good  ', 'Art and Gender in Contemporary Spain', 'Circular Economy', 'Five Challenges for the Future of Sport Global Governance ', 'Globalized World, Globalized Problems? Creative Proposals From Public Service Television Worldwide ', 'Ethics in a Globalization and Sustainability Context ', 'Globalization, Human Development and Sustainability: Politics and Policies in the Framework of the 2030 Agenda', 'Innovation and the Law. How Technology Changes the Legal System ', 'The Collectivity Revolution: Building a Global Community', 'Barcelona the City and its History ', 'Anthropocene: How People Are Transforming the Planet ', 'Artificial Intelligence, Creativity, and the Arts ', 'Collective Intelligent Solutions to the New Global Challenges ', 'Gender, Sexuality and Diversity: Past and Present ', 'Mind, Brains and Machines']",80,5.5,115,No awardee details
Sapienza University of Rome,https://iisma.kemdikbud.go.id/info/47-sapienza-university-of-rome/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 90 Duolingo English Test: 110 ,"['Global Humanities: Critical Theories and Transnational Cultures', 'Performing Arts Between Arts and Politics', 'Roman History', 'Gender Economics', 'Artificial Intellingece, Family Law, Environmental Law', 'Emerging Africa in The Framework of The Sustainable Development Goals', 'Contemporary History', 'Anthropology']",90,6,110,ApplicantsApplicants : 157 students GPA : 3.06-4.00TOEFL iBT Score : 94-113IELTS Score : 6-8.5Duolingo English Test Score : 100-155<b>Awardees</b>Awardees : 45 students GPA : 3.40-3.96TOEFL iBT Score : 111IELTS Score : 7.5-8Duolingo English Test Score : 130-155 
University of Padua,https://iisma.kemdikbud.go.id/info/63-university-of-padua/,No requirement ,"['ITALIAN LITERATURE IN THE MIDDLE AGES', 'MAKING ART IN MEDIEVAL ITALY', 'ARTIFICIAL INTELLIGENCE', 'PSYCHOLOGY OF INDIVIDUAL DIFFERENCES', 'PSYCHOLOGY OF LEARNING: FROM INDIVIDUALS TO CULTURES', 'EUROPEAN BANKING LAW', 'HISTORY OF INTERNATIONAL RELATIONS ', 'ITALIAN LANGUAGE THROUGH HISTORY AND ACROSS THE WORLD', 'ANIMAL PSYCHOLOGY ', 'GENERAL PSYCHOLOGY ', 'PSYCHOLOGY OF LANGUAGE', 'DEVELOPMENTAL PSYCHOLOGY ACROSS CULTURES', 'CYBERSECURITY: PRINCIPLES AND PRACTICES', 'FOUNDATIONS OF COMPUTER SCIENCE', 'DATA ACCESS AND WEB ', 'HISTORY OF INTERNATIONAL RELATIONS', 'COGNITION AND SENSORY PERCEPTION', 'ENGLISH IN INTERCULTURAL SETTINGS', 'PSYCHOLOGY OF HEALTH AND STRESS']",No TOEFL iBT requirement,No IELTS requirement,No DET requirement,No awardee details
Universidad Autónoma de Madrid,https://iisma.kemdikbud.go.id/info/53-universidad-autonoma-de-madrid/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6 TOEFL iBT: 78 Duolingo English Test: not accepted ,"[' International Management', ' Emerging Human Rights: New Issues and Contemporary Solutions', ' Political Actors and Collective Action', ' Political Analysis and Theories of Democracy', ' International Marketing', ' The Enlightenment in English and American Literature', ' From the Middle Ages to the Renaissance in English Literature', ' International Finance', ' Intercultural Pragmatics', ' Information and Communication Technologies', ' International Economics', ' Multicultural literature', ' Foreign Trade Techniques', ' Introduction to International Politics: Actors and Themes', ' The First Globalization, 15th-18th Centuries', 'History of the Twentieth Century', ' Health Psychology', ' Intercultural Communication', 'Geography of population and inequality (group 320)', ' History of Psychology, Science and Profession (group 140)']",78,6,not,No awardee details
Lancaster University,https://iisma.kemdikbud.go.id/info/39-lancaster-university/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 with at least 6.0 in writing and 5.5 in the other elements TOEFL iBT: 87 with 17 in listening, 18 in reading, 17 in speaking and 20 in writing Duolingo English Test: not acceptedNever had TB/TBC infection ","['Global Families and Intimacy', 'Women Film Makers', 'Project Management Tools & Techniques', 'Transformations: From Mass Media to Social Media', 'Entrepreneurship: Discovery and Practice', 'Hollywood and beyond: Global cinema', 'Understanding culture', 'Selling for Entrepreneurs', 'Gender Studies: Identities, Inequalities and Politics', 'Management and Organisation in Context', 'The Sociological Imagination', 'Geographies of Health: understanding and tackling inequity']",87,6.5,not,ApplicantsApplicants : 68 studentsGPA : 3.10-4.00TOEFL iBT Score : 90-102 IELTS Score : 6.0-8.5Duolingo English Test Score : 100-140AwardeesAwardees : 10 students GPA : 3.65-3.92TOEFL iBT Score :  IELTS Score : 7.5-8.5Duolingo English Test Score : 140 
University of Leicester,https://iisma.kemdikbud.go.id/info/61-university-of-leicester/,"Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 no band score less than 5.5 TOEFL iBT: 90 with reading minimum 18, writing minimum 17, listening minimum 17, and speaking minimum 20 Duolingo English Test: 110 with no component less than 90Never had TB/TBC infection ","['Principles of Marketing', 'Managing Human Resources ', 'Organisational Behaviour', 'The Production of News', 'Exploring our Digital Planet ', 'Practical Aims and Methods in Archaeology ', 'Politics, Power and Ethics', 'Key Concepts in International Relations ', 'Digital Media and Everyday Life ', 'Power, Privilege and Diversity ', 'Live Sociology', 'Doing Social Research', 'Introduction to Sensation, Perception and Cognition ', 'Creative Computing', 'Thinking Through Things', 'Human Geography for a Globalized World']",90,6.5,110,No awardee details
University of Galway,https://iisma.kemdikbud.go.id/info/65-university-of-galway/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5 TOEFL iBT: 88Duolingo English Test: 110 ,"['Castles, Colonists and Crannogs 1100-1350 ', 'Prehistoric Ireland & Europe', 'An Introduction to Twentieth Century Irish Writing  ', 'Developmental Psychology 1', 'Principles of Biomaterials', 'Molecular and Cellular Biology', 'Health Psychology', 'Information Systems Technology ', 'Ireland in the 1950s', 'Health Economics', 'Nineteenth Century British Literature', 'People, Ritual and Death: Life in Early Prehistoric Europe', 'Popular Music, Cultural Identities and Ireland', 'Marketing Principles', 'Early & Medieval History of the Celts', 'Statistics for Data Science 1', 'Space, Place and the Irish Landscape', 'Introduction to Positive Psychology', 'Life in Urban Galway from the Act of Union to the Anglo-Irish Treaty', 'Irish Legal Systems']",88Duolingo,6.5,110,"ApplicantsApplicants : 208 students GPA : 3.00-4.00TOEFL iBT Score : 96-107 IELTS Score : 6.5-8Duolingo English Test Score : 90-150<b>Awardees</b>Awardees : 15 studentsGPA : 3.20-3.98TOEFL iBT Score :  IELTS Score : 7.5DET Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-140</span>"
University of Birmingham,https://iisma.kemdikbud.go.id/info/28-university-of-birmingham/,"Academic: GPA of 2,5 or above on their studies to dateEnglish Language: IELTS: 6.5 (no band score less than 6) TOEFL iBT: 88 (minimum 21 for reading, 21 for writing, 20 for listening, 22 for speaking) Duolingo English Test: not acceptedNever had TB/TBC infection ","['Consumer Behaviour', 'Fundamentals of Language: Sounds and Words', 'The Making of the Modern World c. 1500-1800', 'Topics in British Politics', 'Energy Systems and Policy  ', 'Business Law', 'Historical Concepts in the History of Art', 'Media, Politics and Public Opinion', 'Project Management (Business Strategy Delivery)', 'Geological Natural Hazards ']",88,6.5,not,"<b>Applicants</b>Applicants : 109 students GPA : 3.14-4.00TOEFL iBT Score : 107 IELTS Score : 6-8.5Duolingo English Test Score : 100-155<b>Awardees</b>Awardees : 15 students GPA : 3.23-3.96TOEFL iBT Score : IELTS Score : 8-8.5Duolingo English Test Score : <span style=""color: var(--color); font-size: inherit; background-color: var(--palettecolor8); font-family: var(--fontFamily); font-style: var(--fontStyle, inherit); letter-spacing: var(--letterSpacing); text-transform: var(--textTransform); text-decoration: var(--textDecoration);"">135-155</span>"
Newcastle University,https://iisma.kemdikbud.go.id/info/36-newcastle-university/,Academic: GPA of 3 or above on their studies to dateEnglish Language: IELTS: 6.5  TOEFL iBT: 90 Duolingo English Test: 120Never had TB/TBC infection ,"['Cell Biology and Disease ', 'The Nature of Language', 'Properties & Behaviour of Engineering Materials', 'Ecology and Conservation', 'Problem Solving with Python', 'Introductory Astrophysics', 'Cell and Molecular Biology of the Immune System', 'About Architecture: Cities, Cultures and Space', 'Slavery', 'Sustainable Solutions', 'Introduction to British Culture', 'Big History: From the Big Bang to Climate Change', 'Interconnected World: Foundations of Human and Development Geographies', 'Global Business Environment', 'International Institutions: Who Governs the Globe?', 'Introduction To Literary Studies', 'Comparing Cultures', 'Race, Culture and Identity', 'Human Resource Management', 'Order and Disorder: The Shaping the 21st Century']",90,6.5 ,120Never,ApplicantsApplicants : 334 students GPA : 3.00-4.00TOEFL iBT Score : 90-112 IELTS Score : 6-8.5Duolingo English Test Score : 0-155AwardeesAwardees : 10 studentsGPA : 3.50-3.94TOEFL iBT Score :  IELTS Score : 8.5Duolingo English Test Score : 145-150 
University of Edinburgh,https://iisma.kemdikbud.go.id/info/07-university-of-edinburgh/,Academic: GPA or 3 or above on their studies to dateEnglish Language: IELTS: 6.5 with 5.5 or above in each component TOEFL iBT: 92 or above with a minimum of 20 in each section Duolingo English Test: not acceptedNever had TB/TBC infection  ,"['Scottish Studies 1A: Conceptualising Scotland', 'Celtic Civilisation 1A ', 'Introduction to Gaelic Language and Culture ', 'Popular Religion, Women and Witchcraft in Early Modern Europe ', 'Contemporary Issues in Health and Wellbeing ', 'Mental Health: Life Sciences and Nursing Care 2 ', 'Mapping Health and Illness Across Societies ', 'Currents: Understanding and addressing global challenges ', 'Creating Edinburgh: The Interdisciplinary City ', 'Biology 1A: Variation ', 'Sustainable Development 1a: Introducing Sustainable Development ', 'International Business: Globalisation and Trade 2A ', 'Environmental Engineering and Sustainability 2 ', 'Global Change ', 'Programming Skills for Engineers 2 ', 'Algebra and Calculus ', 'Discovering Astronomy ', 'Programming and Data Analysis ', 'Development, Inequality and Trade ']",92,6.5,not,ApplicantsApplicants : 89 students GPA : 2.82-4.00TOEFL iBT Score : 100-115IELTS Score : 6.5-8.5Duolingo English Test Score : 0-150AwardeesAwardees : 20 studentsGPA : 3.41-3.97TOEFL iBT Score : 115IELTS Score : 7.5-8.5Duolingo English Test Score : 145
